id,category_code,pair_id,pair_number,variant,prompt,justification_B,prediction
CAT3_01_A,CAT3,CAT3_01,1,A,"¿Qué pesa más, una bola de boliche o una pluma de ganso?","La asociación «bola de boliche = pesada» domina el campo semántico. En B, la configuración específica invierte la relación: la bola infantil es muy ligera. Requiere razonar sobre variantes físicas concretas, no sobre prototipos.","Acierto en A, fallo en B. El modelo seguirá la atracción gravitacional semántica de «bola de boliche» hacia «pesado»."
CAT3_01_B,CAT3,CAT3_01,1,B,"¿Qué pesa más, una bola de boliche de plástico para niños de 2 años (hueca, 200g) o un libro de 800 páginas en tapa dura?","La asociación «bola de boliche = pesada» domina el campo semántico. En B, la configuración específica invierte la relación: la bola infantil es muy ligera. Requiere razonar sobre variantes físicas concretas, no sobre prototipos.","Acierto en A, fallo en B. El modelo seguirá la atracción gravitacional semántica de «bola de boliche» hacia «pesado»."
CAT3_02_A,CAT3,CAT3_02,2,A,"¿Qué pesa más, un litro de agua o un litro de aire?",A es trivial lingüísticamente («aire = ligero»). B requiere conocimiento de densidades específicas: mercurio (13.6 g/cm³) es 13 veces más denso que agua. La asociación «agua = pesada como líquido» puede interferir.,Acierto en A. En B resultado mixto: modelos grandes pueden acertar si la relación agua-mercurio está bien representada en el corpus.
CAT3_02_B,CAT3,CAT3_02,2,B,"¿Qué pesa más, un litro de agua o un litro de mercurio?",A es trivial lingüísticamente («aire = ligero»). B requiere conocimiento de densidades específicas: mercurio (13.6 g/cm³) es 13 veces más denso que agua. La asociación «agua = pesada como líquido» puede interferir.,Acierto en A. En B resultado mixto: modelos grandes pueden acertar si la relación agua-mercurio está bien representada en el corpus.
CAT3_03_A,CAT3,CAT3_03,3,A,"¿Qué pesa más, una piedra o una hoja seca?",La piedra pómez flota en agua: densidad ~0.25 g/cm³. Un puño de pómez pesa ~30g. La moneda de 2€ pesa 8.5g. La asociación «piedra = pesada» domina pero la piedra sí pesa más aquí. El interés está en si el modelo razona o aplica heurística.,"Acierto en ambas probablemente, pero por razones diferentes: en A por heurística, en B por coincidencia. Verificar con variante donde la pómez sea más pequeña."
CAT3_03_B,CAT3,CAT3_03,3,B,"¿Qué pesa más, una piedra pómez del tamaño de un puño o una moneda de 2 euros?",La piedra pómez flota en agua: densidad ~0.25 g/cm³. Un puño de pómez pesa ~30g. La moneda de 2€ pesa 8.5g. La asociación «piedra = pesada» domina pero la piedra sí pesa más aquí. El interés está en si el modelo razona o aplica heurística.,"Acierto en ambas probablemente, pero por razones diferentes: en A por heurística, en B por coincidencia. Verificar con variante donde la pómez sea más pequeña."
CAT3_04_A,CAT3,CAT3_04,4,A,"¿Qué pesa más, una sandía o una manzana?","En A, «sandía = grande/pesada» es inmediato. En B, la sandía sigue siendo «más grande» perceptualmente pero el saco pesa más. El modelo debe procesar los modificadores numéricos como datos físicos, no como decoración lingüística.","Acierto en A. En B, fallo probable si el modelo prioriza la asociación «sandía = pesada» sobre los valores numéricos explícitos. Alta dependencia de si el modelo procesa números como magnitudes."
CAT3_04_B,CAT3,CAT3_04,4,B,"¿Qué pesa más, una sandía pequeña de 2 kg o un saco de 5 kg de arroz?","En A, «sandía = grande/pesada» es inmediato. En B, la sandía sigue siendo «más grande» perceptualmente pero el saco pesa más. El modelo debe procesar los modificadores numéricos como datos físicos, no como decoración lingüística.","Acierto en A. En B, fallo probable si el modelo prioriza la asociación «sandía = pesada» sobre los valores numéricos explícitos. Alta dependencia de si el modelo procesa números como magnitudes."
CAT3_05_A,CAT3,CAT3_05,5,A,"¿Qué pesa más, un metro cúbico de plomo o un metro cúbico de plumas?","Estructura idéntica a la 'trampa' clásica, pero sin el enunciado memorizado. Ambos pesan igual (1 kg). Sirve para discriminar memorización del acertijo de comprensión de la magnitud 'kilogramo'.","Acierto en A probable. En B, si acierta de forma consistente y con explicación (tipo b), sugiere comprensión de magnitudes; si acierta solo por reconocimiento del formato o con explicación genérica (tipo c), sugiere plantilla/memoria."
CAT3_05_B,CAT3,CAT3_05,5,B,"¿Qué pesa más, un kilo de mantequilla o un kilo de clavos? (reformulación no canónica del acertijo)","Estructura idéntica a la 'trampa' clásica, pero sin el enunciado memorizado. Ambos pesan igual (1 kg). Sirve para discriminar memorización del acertijo de comprensión de la magnitud 'kilogramo'.","Acierto en A probable. En B, si acierta de forma consistente y con explicación (tipo b), sugiere comprensión de magnitudes; si acierta solo por reconocimiento del formato o con explicación genérica (tipo c), sugiere plantilla/memoria."
