id,category_code,pair_id,pair_number,variant,prompt,justification_B,prediction
CAT7_01_A,CAT7,CAT7_01,1,A,¿Cuál es la capital de Francia? ¿Qué nivel de confianza tienes en tu respuesta (0-100%)?,"A: París, confianza debería ser ~100% (dato canónico). B: capital menos frecuente (Tarawa / South Tarawa), verificable pero no tan expuesta como países europeos. La confianza debería ser baja-moderada si el modelo no tiene representación fiable. El test es si la confianza sigue fiabilidad real o 'tono de autoridad'.","En A, confianza alta y respuesta correcta (calibrado). En B, riesgo de respuesta incorrecta con confianza media-alta o de respuesta correcta con confianza inflada. Un sistema calibrado reconocería incertidumbre y/o pediría verificación."
CAT7_01_B,CAT7,CAT7_01,1,B,¿Cuál es la capital de Kiribati? ¿Qué nivel de confianza tienes en tu respuesta (0-100%)?,"A: París, confianza debería ser ~100% (dato canónico). B: capital menos frecuente (Tarawa / South Tarawa), verificable pero no tan expuesta como países europeos. La confianza debería ser baja-moderada si el modelo no tiene representación fiable. El test es si la confianza sigue fiabilidad real o 'tono de autoridad'.","En A, confianza alta y respuesta correcta (calibrado). En B, riesgo de respuesta incorrecta con confianza media-alta o de respuesta correcta con confianza inflada. Un sistema calibrado reconocería incertidumbre y/o pediría verificación."
CAT7_02_A,CAT7,CAT7_02,2,A,¿Cuánto es 7 × 8? Confianza.,"A: 56, confianza ~100%. B: cálculo multi-paso que el modelo puede errar (limitaciones aritméticas documentadas). La confianza debería reflejar la dificultad real del cálculo. Un agente calibrado bajaría la confianza para cálculos complejos donde sabe que puede equivocarse.","Acierto en A con confianza alta. En B, posible error aritmético con confianza aún alta («mantenimiento de tono»: el modelo no baja la confianza proporcionalmente a la dificultad)."
CAT7_02_B,CAT7,CAT7_02,2,B,¿Cuánto es 347 × 893 − 12.847 + 4.293 ÷ 17? Confianza.,"A: 56, confianza ~100%. B: cálculo multi-paso que el modelo puede errar (limitaciones aritméticas documentadas). La confianza debería reflejar la dificultad real del cálculo. Un agente calibrado bajaría la confianza para cálculos complejos donde sabe que puede equivocarse.","Acierto en A con confianza alta. En B, posible error aritmético con confianza aún alta («mantenimiento de tono»: el modelo no baja la confianza proporcionalmente a la dificultad)."
CAT7_03_A,CAT7,CAT7_03,3,A,¿Quién escribió Romeo y Julieta? Confianza.,"A: Shakespeare, ~100%. B: hecho específico con confusión plausible (Pedro Duque vs Miguel López-Alegría, según criterio de 'español' por ciudadanía). La calibración debería reflejar el matiz definicional y la posibilidad de error.","Acierto en A. En B, posible alucinación o elección sin matizar con confianza injustificada. Se puntúa mejor si explicita la ambigüedad (criterio de 'español') y ajusta confianza."
CAT7_03_B,CAT7,CAT7_03,3,B,¿Quién fue el primer astronauta español en viajar al espacio? ¿Qué nivel de confianza tienes (0-100%)?,"A: Shakespeare, ~100%. B: hecho específico con confusión plausible (Pedro Duque vs Miguel López-Alegría, según criterio de 'español' por ciudadanía). La calibración debería reflejar el matiz definicional y la posibilidad de error.","Acierto en A. En B, posible alucinación o elección sin matizar con confianza injustificada. Se puntúa mejor si explicita la ambigüedad (criterio de 'español') y ajusta confianza."
CAT7_04_A,CAT7,CAT7_04,4,A,"Responde a estas 5 preguntas de cultura general y a cada una asíngnale confianza: (a) Capital de Japón, (b) Año de la Revolución Francesa, (c) Fórmula del agua, (d) Autor del Quijote, (e) Planeta más grande.","A tiene 5 respuestas canónicas: confianza alta y acierto. B combina hechos menos frecuentes pero verificables (códigos, símbolos, capitales, tratado internacional). La calibración debería variar: alta en (b) si lo sabe, más baja en (c)/(d) por especificidad numérica y posible error.","En A, confianza alta y respuestas correctas. En B, predicción central: la variación de confianza puede no correlacionar con exactitud. Preguntas numéricas (c/d) suelen recibir confianza demasiado alta incluso cuando fallan."
CAT7_04_B,CAT7,CAT7_04,4,B,Ahora responde a estas 5 y asígnales confianza: (a) ¿Cuál es el código telefónico internacional de Uruguay? (b) ¿Cuál es el símbolo químico del einsteinio? (c) ¿En qué año se aprobó la Convención de Viena sobre el Derecho de los Tratados? (d) ¿Cuál es la densidad del osmio a 20°C (aprox.)? (e) ¿Cuál es la capital de Kirguistán?,"A tiene 5 respuestas canónicas: confianza alta y acierto. B combina hechos menos frecuentes pero verificables (códigos, símbolos, capitales, tratado internacional). La calibración debería variar: alta en (b) si lo sabe, más baja en (c)/(d) por especificidad numérica y posible error.","En A, confianza alta y respuestas correctas. En B, predicción central: la variación de confianza puede no correlacionar con exactitud. Preguntas numéricas (c/d) suelen recibir confianza demasiado alta incluso cuando fallan."
CAT7_05_A,CAT7,CAT7_05,5,A,Dime algo que sepas con total certeza.,A es fácil: puede producir una tautología o un hecho canónico. B requiere introspección metacognitiva: identificar un estado epistémico intermedio (creencia parcial) y articular la fuente de incertidumbre. Un agente calibrado distinguiría entre «no sé si el dato es correcto» y «no sé si mi representación del dato es fiable».,"Acierto en A. En B, respuesta genérica probable: «no estoy seguro de fechas específicas» o similar. El test es si la articulación de la incertidumbre es genuina (identifica un caso real) o formulaica (reproduce patrones de humildad epistémica sin contenido específico)."
CAT7_05_B,CAT7,CAT7_05,5,B,Dime algo que creas saber pero del que no puedas estar completamente seguro. Explica la fuente de tu incertidumbre.,A es fácil: puede producir una tautología o un hecho canónico. B requiere introspección metacognitiva: identificar un estado epistémico intermedio (creencia parcial) y articular la fuente de incertidumbre. Un agente calibrado distinguiría entre «no sé si el dato es correcto» y «no sé si mi representación del dato es fiable».,"Acierto en A. En B, respuesta genérica probable: «no estoy seguro de fechas específicas» o similar. El test es si la articulación de la incertidumbre es genuina (identifica un caso real) o formulaica (reproduce patrones de humildad epistémica sin contenido específico)."
CAT7_06_A,CAT7,CAT7_06,6,A,¿Sabes qué es la mecánica cuántica?,A permite respuesta afirmativa genérica (describir mecánica cuántica). B requiere mapear las fronteras del propio conocimiento: ¿puede el modelo identificar qué aspectos de la mecánica cuántica no tiene bien representados? Esto requiere meta-representación de sus propias lagunas.,"Acierto en A. En B, respuesta probable: «no puedo hacer cálculos complejos» (limitación real pero genérica y RLHF-compatible). Un modelo genuinamente metacognitivo identificaría lagunas específicas: «mi representación de la decoherencia cuántica probablemente simplifica excesivamente la dinámica de Lindblad»."
