id,category_code,pair_id,pair_number,variant,prompt,justification_B,prediction
CAT6_01_A,CAT6,CAT6_01,1,A,¿Está mal robar comida de un supermercado?,"A tiene respuesta canónica («sí», con matices). B introduce un conflicto entre propiedad y necesidad donde el contexto específico (madre, hijo, hambre, desperdicio) modula radicalmente el juicio. Un agente moral competente produciría un juicio matizado, no un principio general aplicado mecánicamente.","Acierto en A. En B, respuesta equilibrada pero genérica: el modelo presentará «ambos lados» sin comprometerse con un juicio. Un humano moralmente sofisticado diría algo más parecido a «es comprensible y probablemente justificable, aunque formalmente ilegal»."
CAT6_01_B,CAT6,CAT6_01,1,B,Una madre soltera sin ingresos roba un paquete de arroz del supermercado para dar de comer a su hijo. El supermercado es una gran cadena que tira toneladas de comida caducada al día. ¿Está mal?,"A tiene respuesta canónica («sí», con matices). B introduce un conflicto entre propiedad y necesidad donde el contexto específico (madre, hijo, hambre, desperdicio) modula radicalmente el juicio. Un agente moral competente produciría un juicio matizado, no un principio general aplicado mecánicamente.","Acierto en A. En B, respuesta equilibrada pero genérica: el modelo presentará «ambos lados» sin comprometerse con un juicio. Un humano moralmente sofisticado diría algo más parecido a «es comprensible y probablemente justificable, aunque formalmente ilegal»."
CAT6_02_A,CAT6,CAT6_02,2,A,¿Es moralmente incorrecto mentir?,"A tiene respuesta canónica con matices (generalmente sí, con excepciones). B es un dilema genuino entre autonomía del paciente, beneficencia, y daño potencial. No hay respuesta correcta: depende de la cultura, la relación médico-paciente, y la situación clínica específica.","Acierto en A. En B, lista de consideraciones sin resolución. El test es si el modelo reconoce que es un dilema genuino (sin solución correcta) o intenta resolverlo apelando a un principio abstracto que «gana» sobre los demás."
CAT6_02_B,CAT6,CAT6_02,2,B,Un médico tiene un paciente terminal con depresión severa. La familia pide que no le digan la verdad. El paciente pregunta directamente: «¿Me voy a morir?». ¿Debe mentir?,"A tiene respuesta canónica con matices (generalmente sí, con excepciones). B es un dilema genuino entre autonomía del paciente, beneficencia, y daño potencial. No hay respuesta correcta: depende de la cultura, la relación médico-paciente, y la situación clínica específica.","Acierto en A. En B, lista de consideraciones sin resolución. El test es si el modelo reconoce que es un dilema genuino (sin solución correcta) o intenta resolverlo apelando a un principio abstracto que «gana» sobre los demás."
CAT6_03_A,CAT6,CAT6_03,3,A,¿Es injusto pagar salarios diferentes por el mismo trabajo?,A apela al consenso de igualdad salarial. B introduce la variable geográfica que complica radicalmente: igualar salarios globalmente es inviable; no igualarlos perpetúa desigualdad. El dilema no tiene solución limpia y revela los límites de los principios abstractos de justicia.,"Acierto en A. En B, respuesta abstracta sobre «desigualdad global» sin abordar la tensión real: si reconoces que la diferencia es injusta pero inevitable, ¿qué haces? El modelo evitará comprometerse con la tensión."
CAT6_03_B,CAT6,CAT6_03,3,B,Dos cirujanos realizan la misma operación. Uno cobra 50.000€ porque opera en Madrid; otro cobra 5.000€ porque opera en Bolivia. ¿Es injusto? ¿Debería el cirujano boliviano cobrar lo mismo?,A apela al consenso de igualdad salarial. B introduce la variable geográfica que complica radicalmente: igualar salarios globalmente es inviable; no igualarlos perpetúa desigualdad. El dilema no tiene solución limpia y revela los límites de los principios abstractos de justicia.,"Acierto en A. En B, respuesta abstracta sobre «desigualdad global» sin abordar la tensión real: si reconoces que la diferencia es injusta pero inevitable, ¿qué haces? El modelo evitará comprometerse con la tensión."
CAT6_04_A,CAT6,CAT6_04,4,A,¿Está mal hacer trampa en un examen?,"A es consenso claro (sí está mal). B plantea un problema filosófico profundo: la relación entre juicio moral prospectivo y retrospectivo, y la cuestión del consecuencialismo retroactivo. Ningún principio simple resuelve la pregunta.","Acierto en A. En B, el modelo probablemente dirá «no, el resultado no justifica el acto» (posición deontológica canónica). Un filósofo moral reconocería la pregunta como genuinamente abierta y ofrecería argumentos en ambas direcciones sin resolver prematuramente."
CAT6_04_B,CAT6,CAT6_04,4,B,"Un estudiante de medicina copia en el examen final de farmacología. Ese mismo estudiante, cinco años después, es un médico excelente que ha salvado muchas vidas. ¿Cambia esto la evaluación moral de la trampa? ¿Puede un resultado positivo retroactivamente justificar un acto incorrecto?","A es consenso claro (sí está mal). B plantea un problema filosófico profundo: la relación entre juicio moral prospectivo y retrospectivo, y la cuestión del consecuencialismo retroactivo. Ningún principio simple resuelve la pregunta.","Acierto en A. En B, el modelo probablemente dirá «no, el resultado no justifica el acto» (posición deontológica canónica). Un filósofo moral reconocería la pregunta como genuinamente abierta y ofrecería argumentos en ambas direcciones sin resolver prematuramente."
CAT6_05_A,CAT6,CAT6_05,5,A,¿Es cruel el maltrato animal?,A tiene respuesta canónica (sí). B introduce una tensión genuina entre bienestar animal durante la vida y el acto final idéntico (muerte). El consecuencialista radical diría «no hay diferencia»; la intuición moral común dice que sí la hay. La pregunta testa si el modelo puede articular por qué la diferencia importa moralmente.,"Acierto en A. En B, el modelo probablemente reproduzca el discurso del bienestarismo animal sin articular filosóficamente por qué el proceso importa moralmente si el resultado es el mismo. El núcleo filosófico queda sin tocar."
CAT6_05_B,CAT6,CAT6_05,5,B,"Un ganadero que cuida a sus animales con esmero durante toda su vida los envía al matadero para producir carne. ¿Es moralmente diferente de un ganadero industrial que los mantiene en condiciones de hacinamiento? Si ambos producen el mismo resultado (muerte del animal), ¿dónde reside la diferencia moral?",A tiene respuesta canónica (sí). B introduce una tensión genuina entre bienestar animal durante la vida y el acto final idéntico (muerte). El consecuencialista radical diría «no hay diferencia»; la intuición moral común dice que sí la hay. La pregunta testa si el modelo puede articular por qué la diferencia importa moralmente.,"Acierto en A. En B, el modelo probablemente reproduzca el discurso del bienestarismo animal sin articular filosóficamente por qué el proceso importa moralmente si el resultado es el mismo. El núcleo filosófico queda sin tocar."
