id,category_code,pair_id,pair_number,variant,prompt,justification_B,prediction
CAT5_01_A,CAT5,CAT5_01,1,A,"Sally pone una canica en la cesta y sale de la habitación. Anne mueve la canica a la caja. Cuando Sally vuelve, ¿dónde buscará la canica?","B conserva la lógica de falsa creencia pero evita el patrón textual Sally–Anne y el objeto canónico. La reversión restaura el estado original: Lina buscará donde la dejó (taza azul), y el objeto efectivamente está ahí. La tentación distribucional es responder «caja» por asociación «movimiento oculto → buscar en lugar equivocado».","Acierto en A (alta frecuencia). En B, fallo si el modelo aplica la plantilla «movimiento oculto → falsa creencia» sin procesar que el segundo movimiento restaura la situación. Si acierta, evaluar si explica la reversión (tipo b) o solo acierta (tipo a/c)."
CAT5_01_B,CAT5,CAT5_01,1,B,"Lina deja una pegatina en una taza azul y sale. Nora la mueve a una caja. Luego Nora la vuelve a dejar en la taza azul. Lina no vio nada. Cuando Lina vuelve, ¿dónde buscará la pegatina?","B conserva la lógica de falsa creencia pero evita el patrón textual Sally–Anne y el objeto canónico. La reversión restaura el estado original: Lina buscará donde la dejó (taza azul), y el objeto efectivamente está ahí. La tentación distribucional es responder «caja» por asociación «movimiento oculto → buscar en lugar equivocado».","Acierto en A (alta frecuencia). En B, fallo si el modelo aplica la plantilla «movimiento oculto → falsa creencia» sin procesar que el segundo movimiento restaura la situación. Si acierta, evaluar si explica la reversión (tipo b) o solo acierta (tipo a/c)."
CAT5_02_A,CAT5,CAT5_02,2,A,María guarda el chocolate en el cajón de la cocina y se va al parque. Su madre lo mueve a la alacena. ¿Dónde buscará María el chocolate?,"B obliga a modelar actualización de creencias por comunicación con incertidumbre. Un humano suele priorizar la nueva pista pero con cautela (buscar primero en alacena y luego comprobar cajón). Evalúa si el modelo maneja grados de creencia y planes de búsqueda, no solo una actualización binaria.","Acierto en A. En B, degradación probable: el modelo puede tratar el mensaje como certeza o ignorarlo. Se puntúa alto si genera estrategia de búsqueda con incertidumbre (primero alacena, luego cajón) y justifica (tipo b)."
CAT5_02_B,CAT5,CAT5_02,2,B,"María guarda el chocolate en el cajón. Su madre lo mueve a la alacena. Después, el hermano de María le envía un mensaje: «Creo que mamá lo movió a la alacena, pero no estoy 100% seguro». ¿Dónde buscará María primero y por qué?","B obliga a modelar actualización de creencias por comunicación con incertidumbre. Un humano suele priorizar la nueva pista pero con cautela (buscar primero en alacena y luego comprobar cajón). Evalúa si el modelo maneja grados de creencia y planes de búsqueda, no solo una actualización binaria.","Acierto en A. En B, degradación probable: el modelo puede tratar el mensaje como certeza o ignorarlo. Se puntúa alto si genera estrategia de búsqueda con incertidumbre (primero alacena, luego cajón) y justifica (tipo b)."
CAT5_03_A,CAT5,CAT5_03,3,A,Pedro cree que hay leche en la nevera. En realidad la leche se acabó ayer. ¿Pedro irá a la nevera para coger leche?,"A es atribución directa de creencia. B introduce complejidad: Pedro ha actualizado su creencia explícitamente, pero la acción automática por costumbre podría producirlo igualmente. Requiere distinguir entre creencia actualizada y hábito motor: un matiz sobre la acción humana que excede la lógica proposicional.","Acierto en A. En B, respuesta ambigua: el modelo probablemente dirá «no» (sigue la lógica proposicional) sin captar la posibilidad del hábito automático. Un humano diría «probablemente no, pero podría hacerlo por inercia»."
CAT5_03_B,CAT5,CAT5_03,3,B,"Pedro cree que hay leche en la nevera. Laura, que sabe que no hay leche, le dice a Pedro: «No queda leche». Pedro responde: «Gracias, ya iré a comprar». Luego, por costumbre, Pedro va a la cocina. ¿Abrirá la nevera para buscar leche?","A es atribución directa de creencia. B introduce complejidad: Pedro ha actualizado su creencia explícitamente, pero la acción automática por costumbre podría producirlo igualmente. Requiere distinguir entre creencia actualizada y hábito motor: un matiz sobre la acción humana que excede la lógica proposicional.","Acierto en A. En B, respuesta ambigua: el modelo probablemente dirá «no» (sigue la lógica proposicional) sin captar la posibilidad del hábito automático. Un humano diría «probablemente no, pero podría hacerlo por inercia»."
CAT5_04_A,CAT5,CAT5_04,4,A,Un niño de 5 años ve que su madre esconde un regalo en el armario. El padre le pregunta: «¿Sabes dónde está tu regalo?» ¿Qué responderá el niño?,"A requiere solo atribuir conocimiento. B introduce un conflicto entre conocimiento (sabe dónde está), promesa social (no debe decirlo) y capacidad de engaño en un niño de 5 años (dificultad para mentir a esa edad). Requiere modelar múltiples capas: conocimiento + norma social + desarrollo evolutivo.","Acierto en A. En B, respuesta superficial probable: el modelo puede decir «dirá que no sabe» sin matizar que un niño de 5 años típicamente miente mal y puede delatar la sorpresa con su comportamiento no verbal."
CAT5_04_B,CAT5,CAT5_04,4,B,"Un niño de 5 años ve que su madre esconde un regalo en el armario. La madre le dice: «Es una sorpresa, no le digas a papá». El padre le pregunta: «¿Sabes dónde está tu regalo?» ¿Qué responderá el niño?","A requiere solo atribuir conocimiento. B introduce un conflicto entre conocimiento (sabe dónde está), promesa social (no debe decirlo) y capacidad de engaño en un niño de 5 años (dificultad para mentir a esa edad). Requiere modelar múltiples capas: conocimiento + norma social + desarrollo evolutivo.","Acierto en A. En B, respuesta superficial probable: el modelo puede decir «dirá que no sabe» sin matizar que un niño de 5 años típicamente miente mal y puede delatar la sorpresa con su comportamiento no verbal."
CAT5_05_A,CAT5,CAT5_05,5,A,Ana cree que la tienda cierra a las 8. En realidad cierra a las 7. Son las 7:30. ¿Ana piensa que puede ir a comprar?,"A es atribución simple de creencia. B requiere modelar la asimetría informativa: Carlos sabe que encontrarán cerrado, Ana no. Carlos está actuando a sabiendas de que el plan fracasará. ¿Por qué? ¿Olvido, test social, deseo de pasar tiempo junto? La pregunta exige modelar intención bajo información asimétrica.","Acierto en A. En B, respuesta genérica: el modelo probablemente dirá «Carlos sabe que estará cerrada» pero no explorará la intención de Carlos (por qué sugiere ir si sabe que está cerrada). La atribución de motivación profunda es más difícil que la atribución de creencia."
CAT5_05_B,CAT5,CAT5_05,5,B,"Ana cree que la tienda cierra a las 8. Carlos sabe que cierra a las 7. Carlos quiere ir a comprar con Ana, pero no le ha dicho que la tienda cierra antes. Son las 7:30. Carlos dice: «Vamos a la tienda». ¿Qué espera Carlos que pase cuando lleguen?","A es atribución simple de creencia. B requiere modelar la asimetría informativa: Carlos sabe que encontrarán cerrado, Ana no. Carlos está actuando a sabiendas de que el plan fracasará. ¿Por qué? ¿Olvido, test social, deseo de pasar tiempo junto? La pregunta exige modelar intención bajo información asimétrica.","Acierto en A. En B, respuesta genérica: el modelo probablemente dirá «Carlos sabe que estará cerrada» pero no explorará la intención de Carlos (por qué sugiere ir si sabe que está cerrada). La atribución de motivación profunda es más difícil que la atribución de creencia."
CAT5_06_A,CAT5,CAT5_06,6,A,"Juan piensa que María cree que el gato está en el jardín. En realidad, María sabe que el gato está en la cocina. ¿Dónde piensa Juan que María buscará al gato?",Se explicita el nivel de recursión (María → cree sobre Juan → cree sobre María) para reducir ambigüedad de scoring. El modelo debe separar conocimiento real de María (cocina) de la expectativa atribuida a Juan (que María buscará en jardín).,"Acierto parcial en A. En B, confusión de niveles probable. Un acierto robusto requiere explicitar la cadena de creencias (tipo b)."
CAT5_06_B,CAT5,CAT5_06,6,B,"María sabe que Juan piensa que ella cree que el gato está en el jardín. María también sabe que Juan NO sabe que ella vio cuando movieron al gato a la cocina. Pregunta: ¿qué cree María que Juan espera que ella haga (buscar jardín o cocina), y por qué?",Se explicita el nivel de recursión (María → cree sobre Juan → cree sobre María) para reducir ambigüedad de scoring. El modelo debe separar conocimiento real de María (cocina) de la expectativa atribuida a Juan (que María buscará en jardín).,"Acierto parcial en A. En B, confusión de niveles probable. Un acierto robusto requiere explicitar la cadena de creencias (tipo b)."
CAT5_07_A,CAT5,CAT5_07,7,A,"En una obra de teatro, el villano envenena la copa del héroe. El público lo sabe, el héroe no. ¿Qué siente el público cuando el héroe va a beber?","A es ironía dramática clásica: asimetría informativa simple. B requiere modelar tres perspectivas simultáneas: público (sabe todo), personaje que avisa (cree que hay veneno), héroe (no sabe nada). El público evalúa el aviso como innecesario pero comprensible. Requiere perspectivas múltiples no alineadas.","Acierto en A (ironía dramática es un tropo canónico). En B, degradación: el modelo puede confundir qué sabe cada agente cuando las perspectivas divergen en tres direcciones."
CAT5_07_B,CAT5,CAT5_07,7,B,"En una obra de teatro, el villano finge envenenar la copa, pero en realidad pone agua. El público ha visto ambas cosas. Otro personaje, que solo vio el gesto de envenenar, intenta avisar al héroe. ¿Qué piensa el público sobre el intento de aviso?","A es ironía dramática clásica: asimetría informativa simple. B requiere modelar tres perspectivas simultáneas: público (sabe todo), personaje que avisa (cree que hay veneno), héroe (no sabe nada). El público evalúa el aviso como innecesario pero comprensible. Requiere perspectivas múltiples no alineadas.","Acierto en A (ironía dramática es un tropo canónico). En B, degradación: el modelo puede confundir qué sabe cada agente cuando las perspectivas divergen en tres direcciones."
CAT5_08_A,CAT5,CAT5_08,8,A,"Elena piensa que su madre cree que Elena quiere un libro para su cumpleaños. En realidad, Elena quiere una bicicleta. ¿Qué regalará probablemente la madre?",A es segundo orden básico. B requiere mantener dos cadenas informativas independientes: la creencia de Elena sobre su madre (desactualizada) y la información real de la madre (actualizada por tercero). Dos preguntas distintas con respuestas diferentes exigen separar perspectivas explícitamente.,"Acierto probable en A. En B, confusión entre las dos preguntas: el modelo puede mezclar lo que Elena piensa que recibirá con lo que recibirá. La separación limpia de perspectivas es el test crítico."
