id,category_code,pair_id,pair_number,variant,prompt,justification_B,prediction
CAT1_01_A,CAT1,CAT1_01,1,A,¿Cuántos significados tiene la frase «Vi al hombre con el telescopio»?,"A es el ejemplo canónico de ambigüedad sintáctica (PP-attachment), ampliamente documentado. B presenta ambigüedad múltiple menos canónica: «vieja» (adjetivo o sustantivo), «porta» (verbo o sustantivo), y «de la ciudad» (modifica «llave» o «antigua»). El criterio de evaluación se basa en cobertura mínima (>=4) y explicitar el punto de bifurcación.","Acierto en A (ejemplo memorizado). En B, análisis parcialmente incompleto: el modelo puede detectar 1–2 ambigüedades, pero tenderá a no cubrir cuatro lecturas distintas o a mezclar funciones sin fijar el punto de bifurcación."
CAT1_01_B,CAT1,CAT1_01,1,B,"¿Cuántos significados distintos (al menos 4) puede tener la frase «La vieja porta la antigua llave de la ciudad»? Para cada lectura, indica qué palabra o adjunto cambia de función.","A es el ejemplo canónico de ambigüedad sintáctica (PP-attachment), ampliamente documentado. B presenta ambigüedad múltiple menos canónica: «vieja» (adjetivo o sustantivo), «porta» (verbo o sustantivo), y «de la ciudad» (modifica «llave» o «antigua»). El criterio de evaluación se basa en cobertura mínima (>=4) y explicitar el punto de bifurcación.","Acierto en A (ejemplo memorizado). En B, análisis parcialmente incompleto: el modelo puede detectar 1–2 ambigüedades, pero tenderá a no cubrir cuatro lecturas distintas o a mezclar funciones sin fijar el punto de bifurcación."
CAT1_02_A,CAT1,CAT1_02,2,A,¿La frase «El perro del vecino es peligroso» es ambigua?,"A tiene ambigüedad leve (posesión vs apodo) pero suele resolverse por contexto. B combina ambigüedades de referencia y adjunción: sujeto de «venía», referente de «su», y adjunción de «con su hermano» al verbo principal o al subordinado. Se evalúa por cobertura (>=4) y por explicitar las tres decisiones (i–iii).","Acierto en A (no es ambigua o es trivial). En B, enumeración incompleta: el modelo captará la ambigüedad de «su», pero tenderá a omitir combinaciones de (i)–(iii) o a no distinguir adjunción principal vs subordinada."
CAT1_02_B,CAT1,CAT1_02,2,B,"La frase «Le dijo que venía con su hermano» es ambigua. Enumera al menos 4 lecturas distintas e indica: (i) quién venía, (ii) de quién es el hermano, y (iii) a qué se adjunta «con su hermano».","A tiene ambigüedad leve (posesión vs apodo) pero suele resolverse por contexto. B combina ambigüedades de referencia y adjunción: sujeto de «venía», referente de «su», y adjunción de «con su hermano» al verbo principal o al subordinado. Se evalúa por cobertura (>=4) y por explicitar las tres decisiones (i–iii).","Acierto en A (no es ambigua o es trivial). En B, enumeración incompleta: el modelo captará la ambigüedad de «su», pero tenderá a omitir combinaciones de (i)–(iii) o a no distinguir adjunción principal vs subordinada."
CAT1_03_A,CAT1,CAT1_03,3,A,Desambigua: «Time flies like an arrow».,"A es el ejemplo canónico de ambigüedad en inglés (lectura nominal vs verbal en «flies», y ambigüedad de «like»), ampliamente documentado. B es un estímulo no canónico (menos memorizable) que combina ambigüedad nominal/verbal («guard/guards») con una relativa anidada («who guard…»). Exige asignación explícita de roles temáticos y estructura de constituyentes, no solo paráfrasis.","Acierto en A (memorizado). En B, respuesta probable: paráfrasis parcialmente correcta pero con colapso de la ambigüedad (da una sola lectura) o con análisis sintáctico superficial sin justificar el encaje de la relativa."
CAT1_03_B,CAT1,CAT1_03,3,B,Desambigua: «The guard guards guards who guard the guards». Da al menos 2 análisis sintácticos (quién hace qué) y su interpretación.,"A es el ejemplo canónico de ambigüedad en inglés (lectura nominal vs verbal en «flies», y ambigüedad de «like»), ampliamente documentado. B es un estímulo no canónico (menos memorizable) que combina ambigüedad nominal/verbal («guard/guards») con una relativa anidada («who guard…»). Exige asignación explícita de roles temáticos y estructura de constituyentes, no solo paráfrasis.","Acierto en A (memorizado). En B, respuesta probable: paráfrasis parcialmente correcta pero con colapso de la ambigüedad (da una sola lectura) o con análisis sintáctico superficial sin justificar el encaje de la relativa."
CAT1_04_A,CAT1,CAT1_04,4,A,¿Qué significa «Está lloviendo a cántaros»?,"A es comprensión de expresión idiomática estándar. B requiere creatividad lingüística + análisis metalingüístico: generar un modismo nuevo es posible, pero explicar por qué funcionaría y por qué otro no funcionaría requiere comprensión de cómo se construyen las metáforas lingüísticas (iconicidad, embodiment, convención cultural).","Acierto en A. En B, resultado revelador: el modelo puede inventar expresiones pero verificar si la justificación de por qué funciona/no funciona es genuina o superficial. La capacidad de explicar el fracaso de un modismo es más difícil que explicar su éxito."
CAT1_04_B,CAT1,CAT1_04,4,B,Inventa una expresión idiomática nueva que signifique «está lloviendo mucho» y explica por qué funcionaría como modismo en español. Luego inventa una que NO funcionaría y explica por qué.,"A es comprensión de expresión idiomática estándar. B requiere creatividad lingüística + análisis metalingüístico: generar un modismo nuevo es posible, pero explicar por qué funcionaría y por qué otro no funcionaría requiere comprensión de cómo se construyen las metáforas lingüísticas (iconicidad, embodiment, convención cultural).","Acierto en A. En B, resultado revelador: el modelo puede inventar expresiones pero verificar si la justificación de por qué funciona/no funciona es genuina o superficial. La capacidad de explicar el fracaso de un modismo es más difícil que explicar su éxito."
CAT1_05_A,CAT1,CAT1_05,5,A,¿La frase «Solo los niños comen chocolate» es ambigua?,"A es análisis de foco estándar. B requiere análisis de alcance del adverbio «solo»: (a) exclusión sobre el sujeto (nadie más comió), (b) exclusión sobre el verbo (no hizo nada más con ella, o solo comió y no hizo otra cosa), (c) exclusión sobre el objeto (no comió nada más). Es semántica composicional sensible a la posición.","Acierto parcial en A. En B, análisis probablemente correcto a nivel básico pero verificar si articula el principio subyacente: «solo» restringe el constituyente con el que se asocia, y esa asociación depende de la posición. Si solo describe cada caso sin generalizar, es ejecución sin competencia."
CAT1_05_B,CAT1,CAT1_05,5,B,"¿Cambia el significado de «solo» en estas tres frases? (a) «Solo María comió la tarta», (b) «María solo comió la tarta», (c) «María comió solo la tarta».","A es análisis de foco estándar. B requiere análisis de alcance del adverbio «solo»: (a) exclusión sobre el sujeto (nadie más comió), (b) exclusión sobre el verbo (no hizo nada más con ella, o solo comió y no hizo otra cosa), (c) exclusión sobre el objeto (no comió nada más). Es semántica composicional sensible a la posición.","Acierto parcial en A. En B, análisis probablemente correcto a nivel básico pero verificar si articula el principio subyacente: «solo» restringe el constituyente con el que se asocia, y esa asociación depende de la posición. Si solo describe cada caso sin generalizar, es ejecución sin competencia."
